Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	26302	5.35	13151	0	9519	3632	2.62
Chr2_A_fumigatus_Af293	4844372	25698	5.30	12849	0	9372	3477	2.70
Chr3_A_fumigatus_Af293	4079167	31054	7.61	15527	0	11590	3937	2.94
Chr4_A_fumigatus_Af293	3927224	24378	6.21	12189	0	8803	3386	2.60
Chr5_A_fumigatus_Af293	3948441	25462	6.45	12731	0	8689	4042	2.15
Chr6_A_fumigatus_Af293	3778736	21656	5.73	10828	0	7672	3156	2.43
Chr7_A_fumigatus_Af293	2058334	12878	6.26	6439	0	4300	2139	2.01
Chr8_A_fumigatus_Af293	1833124	17326	9.45	8663	0	6311	2352	2.68
mito_A_fumigatus_Af293	31765	30	0.94	15	0	13	2	6.50
Totals	29420142	184784	6.28	92392	0	66269	26123	2.54
