Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	5628	1.14	0	2814	18	14	1.29
Chr2_A_fumigatus_Af293	4844372	3708	0.77	0	1854	22	2	11.00
Chr3_A_fumigatus_Af293	4079167	4078	1.00	0	2039	22	3	7.33
Chr4_A_fumigatus_Af293	3927224	3206	0.82	0	1603	13	7	1.86
Chr5_A_fumigatus_Af293	3948441	3682	0.93	0	1841	7	4	1.75
Chr6_A_fumigatus_Af293	3778736	3564	0.94	0	1782	13	5	2.60
Chr7_A_fumigatus_Af293	2058334	1890	0.92	0	945	3	1	3.00
Chr8_A_fumigatus_Af293	1833124	1914	1.04	0	957	5	1	5.00
mito_A_fumigatus_Af293	31765	16	0.50	0	8	0	0	0
Totals	29420142	27686	0.94	0	13843	103	37	2.78
