Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	6114	1.24	0	3057	29	17	1.71
Chr2_A_fumigatus_Af293	4844372	4088	0.84	0	2044	39	3	13.00
Chr3_A_fumigatus_Af293	4079167	4458	1.09	0	2229	39	5	7.80
Chr4_A_fumigatus_Af293	3927224	3346	0.85	0	1673	15	7	2.14
Chr5_A_fumigatus_Af293	3948441	3814	0.97	0	1907	9	4	2.25
Chr6_A_fumigatus_Af293	3778736	3968	1.05	0	1984	22	6	3.67
Chr7_A_fumigatus_Af293	2058334	2046	0.99	0	1023	4	2	2.00
Chr8_A_fumigatus_Af293	1833124	2006	1.09	0	1003	5	1	5.00
mito_A_fumigatus_Af293	31765	16	0.50	0	8	0	0	0
Totals	29420142	29856	1.01	0	14928	162	45	3.60
