Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	16450	3.34	8225	0	5950	2275	2.62
Chr2_A_fumigatus_Af293	4844372	14990	3.09	7495	0	5630	1865	3.02
Chr3_A_fumigatus_Af293	4079167	21702	5.32	10851	0	8445	2406	3.51
Chr4_A_fumigatus_Af293	3927224	14186	3.61	7093	0	5251	1842	2.85
Chr5_A_fumigatus_Af293	3948441	14894	3.77	7447	0	5235	2212	2.37
Chr6_A_fumigatus_Af293	3778736	12868	3.41	6434	0	4640	1794	2.59
Chr7_A_fumigatus_Af293	2058334	7886	3.83	3943	0	2651	1292	2.05
Chr8_A_fumigatus_Af293	1833124	9192	5.01	4596	0	3415	1181	2.89
mito_A_fumigatus_Af293	31765	12	0.38	6	0	5	1	5.00
Totals	29420142	112180	3.81	56090	0	41222	14868	2.77
